Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p
214,0.0537449,0.05,0,0.0734065,-0.103481,-0.000164136,0,0.103481,0.0019502,0,87977.3,-3.96231
213,0.0550441,0.05,0,0.074363,-0.0843289,-0.000171666,0,0.0843291,0.00175168,0,87976.6,-3.85927
212,0.0563524,0.05,0,0.0753365,-0.0654199,-0.000191446,0,0.0654201,0.00156902,0,87976,-3.76114
211,0.0576698,0.05,0,0.076327,-0.0468242,-0.000212069,0,0.0468247,0.00140208,0,87975.4,-3.66789
210,0.0589964,0.05,0,0.0773342,-0.0286167,-0.000228563,0,0.0286176,0.00125057,0,87974.9,-3.57951
209,0.0603323,0.05,0,0.0783581,-0.0108419,-0.000242393,0,0.0108446,0.00111436,0,87974.4,-3.4959
208,0.0616775,0.05,0,0.0793985,0.00648147,-0.000250376,0,0.0064863,0.00107812,0,87974.2,-3.41698
207,0.0630322,0.05,0,0.0804553,0.0233209,-0.00025056,0,0.0233222,0.00114787,0,87974.5,-3.34264
206,0.0643963,0.05,0,0.0815284,0.039616,-0.000245354,0,0.0396168,0.00123252,0,87974.8,-3.2728
205,0.0657699,0.05,0,0.0826177,0.0553017,-0.000237244,0,0.0553022,0.00131916,0,87975,-3.2073
204,0.0671532,0.05,0,0.0837231,0.0703302,-0.000226962,0,0.0703306,0.00140719,0,87975.4,-3.14597
203,0.0685461,0.05,0,0.0848444,0.0846729,-0.000216216,0,0.0846732,0.00149607,0,87975.6,-3.08862
202,0.0699488,0.05,0,0.0859816,0.0983176,-0.000205574,0,0.0983178,0.00158538,0,87976,-3.03504
201,0.0713612,0.05,0,0.0871345,0.111276,-0.000195361,0,0.111276,0.00167497,0,87976.4,-2.985
200,0.0727836,0.05,0,0.0883031,0.123567,-0.000184362,0,0.123567,0.00176459,0,87976.6,-2.9383
199,0.0742158,0.05,0,0.0894874,0.135208,-0.000172572,0,0.135208,0.00185369,0,87977,-2.89473
198,0.0756581,0.05,0,0.0906871,0.146209,-0.000160163,0,0.146209,0.00194162,0,87977.2,-2.85409
197,0.0771105,0.05,0,0.0919023,0.156581,-0.000148169,0,0.156581,0.00202772,0,87977.5,-2.8162
196,0.078573,0.05,0,0.0931328,0.166337,-0.000136707,0,0.166337,0.00211147,0,87977.9,-2.78085
195,0.0800458,0.05,0,0.0943786,0.175499,-0.000126363,0,0.175499,0.00219267,0,87978.1,-2.74786
194,0.0815288,0.05,0,0.0956397,0.184098,-0.000116789,0,0.184098,0.00227123,0,87978.5,-2.71705
193,0.0830222,0.05,0,0.0969159,0.192164,-0.000108247,0,0.192164,0.00234702,0,87978.7,-2.68828
192,0.0845261,0.05,0,0.0982072,0.199721,-0.000100732,0,0.199721,0.00241979,0,87979,-2.6614
191,0.0860405,0.05,0,0.0995136,0.206786,-9.29E-05,0,0.206787,0.00248922,0,87979.2,-2.63624
190,0.0875654,0.05,0,0.100835,0.213387,-8.62E-05,0,0.213388,0.00255525,0,87979.4,-2.61268
189,0.089101,0.05,0,0.102171,0.219549,-8.03E-05,0,0.219549,0.00261784,0,87979.6,-2.5906
188,0.0906474,0.05,0,0.103523,0.225291,-7.42E-05,0,0.225291,0.00267699,0,87979.9,-2.56987
187,0.0922045,0.05,0,0.104889,0.230635,-6.81E-05,0,0.230635,0.00273285,0,87980,-2.55039
186,0.0937726,0.05,0,0.10627,0.235608,-6.27E-05,0,0.235609,0.00278549,0,87980.2,-2.53204
185,0.0953516,0.05,0,0.107666,0.240238,-5.82E-05,0,0.240238,0.00283506,0,87980.4,-2.51473
184,0.0969416,0.05,0,0.109076,0.244548,-5.40E-05,0,0.244548,0.00288165,0,87980.6,-2.49838
183,0.0985428,0.05,0,0.110502,0.248558,-4.95E-05,0,0.248558,0.00292527,0,87980.8,-2.48289
182,0.100155,0.05,0,0.111942,0.252283,-4.46E-05,0,0.252283,0.002966,0,87980.8,-2.4682
181,0.101779,0.05,0,0.113397,0.255749,-4.07E-05,0,0.255749,0.00300406,0,87981,-2.45424
180,0.103414,0.05,0,0.114867,0.258981,-3.75E-05,0,0.258981,0.00303968,0,87981.2,-2.44095
179,0.10506,0.05,0,0.116351,0.261997,-3.42E-05,0,0.261997,0.00307299,0,87981.2,-2.42829
178,0.106718,0.05,0,0.11785,0.264813,-3.06E-05,0,0.264813,0.00310409,0,87981.3,-2.4162
177,0.108388,0.05,0,0.119364,0.267443,-2.79E-05,0,0.267443,0.00313303,0,87981.5,-2.40465
176,0.110069,0.05,0,0.120893,0.269904,-2.63E-05,0,0.269904,0.00316006,0,87981.5,-2.39362
175,0.111762,0.05,0,0.122436,0.272211,-2.46E-05,0,0.272211,0.00318537,0,87981.7,-2.38305
174,0.113466,0.05,0,0.123994,0.274373,-2.30E-05,0,0.274373,0.00320895,0,87981.8,-2.37294
173,0.115183,0.05,0,0.125567,0.276389,-2.12E-05,0,0.276389,0.00323064,0,87981.8,-2.36325
172,0.116912,0.05,0,0.127155,0.278269,-2.08E-05,0,0.278269,0.00325053,0,87981.9,-2.35394
171,0.118653,0.05,0,0.128757,0.280023,-1.98E-05,0,0.280023,0.00326876,0,87982,-2.34501
170,0.120405,0.05,0,0.130374,0.281654,-1.79E-05,0,0.281654,0.00328539,0,87982,-2.33643
169,0.122171,0.05,0,0.132006,0.283166,-1.61E-05,0,0.283166,0.00330049,0,87982,-2.32819
168,0.123948,0.05,0,0.133653,0.284571,-1.47E-05,0,0.284571,0.00331418,0,87982.1,-2.32025
167,0.125738,0.05,0,0.135315,0.285881,-1.38E-05,0,0.285881,0.00332656,0,87982.2,-2.31261
166,0.127541,0.05,0,0.136991,0.287098,-1.29E-05,0,0.287098,0.00333758,0,87982.2,-2.30525
165,0.129356,0.05,0,0.138683,0.288229,-1.26E-05,0,0.288229,0.00334733,0,87982.2,-2.29817
164,0.131183,0.05,0,0.140389,0.289275,-1.17E-05,0,0.289275,0.00335584,0,87982.2,-2.29136
163,0.133024,0.05,0,0.14211,0.290232,-1.02E-05,0,0.290232,0.00336311,0,87982.3,-2.2848
162,0.134877,0.05,0,0.143847,0.291107,-8.80E-06,0,0.291107,0.00336915,0,87982.3,-2.27849
161,0.136744,0.05,0,0.145598,0.29191,-8.46E-06,0,0.29191,0.00337415,0,87982.3,-2.27239
160,0.138623,0.05,0,0.147365,0.292651,-9.06E-06,0,0.292651,0.00337827,0,87982.3,-2.26651
159,0.140516,0.05,0,0.149146,0.293332,-9.03E-06,0,0.293332,0.00338153,0,87982.3,-2.26085
158,0.142421,0.05,0,0.150943,0.293948,-7.96E-06,0,0.293948,0.00338384,0,87982.4,-2.25539
157,0.14434,0.05,0,0.152755,0.294501,-6.99E-06,0,0.294501,0.00338524,0,87982.4,-2.25013
156,0.146273,0.05,0,0.154583,0.295,-6.91E-06,0,0.295,0.00338595,0,87982.4,-2.24505
155,0.148219,0.05,0,0.156425,0.295449,-5.98E-06,0,0.295449,0.00338599,0,87982.4,-2.24015
154,0.150179,0.05,0,0.158283,0.295852,-5.25E-06,0,0.295852,0.00338543,0,87982.4,-2.23541
153,0.152152,0.05,0,0.160157,0.296215,-4.84E-06,0,0.296215,0.00338437,0,87982.4,-2.23085
152,0.154139,0.05,0,0.162046,0.296542,-4.65E-06,0,0.296542,0.00338283,0,87982.4,-2.22645
151,0.15614,0.05,0,0.16395,0.296836,-4.65E-06,0,0.296836,0.00338084,0,87982.3,-2.2222
150,0.158155,0.05,0,0.16587,0.297101,-4.73E-06,0,0.297101,0.00337845,0,87982.3,-2.21811
149,0.160184,0.05,0,0.167806,0.297335,-4.71E-06,0,0.297335,0.00337564,0,87982.3,-2.21418
148,0.162227,0.05,0,0.169758,0.297538,-4.49E-06,0,0.297538,0.00337239,0,87982.3,-2.21041
147,0.164285,0.05,0,0.171725,0.297713,-4.26E-06,0,0.297713,0.00336881,0,87982.3,-2.20678
146,0.166357,0.05,0,0.173708,0.297859,-3.63E-06,0,0.297859,0.00336488,0,87982.3,-2.20332
145,0.168443,0.05,0,0.175707,0.297974,-2.94E-06,0,0.297974,0.00336058,0,87982.3,-2.2
144,0.170544,0.05,0,0.177723,0.298065,-2.63E-06,0,0.298065,0.00335596,0,87982.2,-2.19682
143,0.17266,0.05,0,0.179754,0.298133,-2.45E-06,0,0.298133,0.0033511,0,87982.2,-2.19379
142,0.17479,0.05,0,0.181801,0.298181,-1.91E-06,0,0.298181,0.003346,0,87982.2,-2.19088
141,0.176936,0.05,0,0.183865,0.298213,-1.67E-06,0,0.298213,0.00334072,0,87982.2,-2.18812
140,0.179096,0.05,0,0.185945,0.298234,-2.35E-06,0,0.298234,0.00333531,0,87982.2,-2.18548
139,0.181272,0.05,0,0.188041,0.298242,-2.69E-06,0,0.298242,0.00332972,0,87982.2,-2.18299
138,0.183462,0.05,0,0.190154,0.298238,-2.54E-06,0,0.298238,0.00332393,0,87982.2,-2.18065
137,0.185668,0.05,0,0.192283,0.298217,-2.32E-06,0,0.298217,0.00331787,0,87982.1,-2.17846
136,0.18789,0.05,0,0.194429,0.298178,-2.13E-06,0,0.298178,0.00331151,0,87982.1,-2.17641
135,0.190127,0.05,0,0.196591,0.298118,-1.77E-06,0,0.298118,0.00330489,0,87982.1,-2.17452
