"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23664,-9.7025e-05,0,0.0029249,1.6307e-08,86960,-2.5542,1,0.1419,0.0919,0.05001,0
0.23769,-9.5409e-05,0,0.0029343,1.6224e-08,86960,-2.5504,1,0.1422,0.0922,0.05001,0
0.23866,-9.3964e-05,0,0.002943,1.6146e-08,86960,-2.5469,1,0.1425,0.0925,0.05001,0
0.23964,-9.2522e-05,0,0.0029518,1.6067e-08,86960,-2.5434,1,0.1428,0.0928,0.05001,0
0.24061,-9.108e-05,0,0.0029606,1.5989e-08,86960,-2.5399,1,0.1431,0.0931,0.05001,0
0.24158,-8.9638e-05,0,0.0029693,1.5911e-08,86961,-2.5364,1,0.1434,0.0934,0.05001,0
0.24255,-8.8196e-05,0,0.0029781,1.5832e-08,86961,-2.5329,1,0.1437,0.0937,0.05001,0
0.24347,-8.6915e-05,0,0.0029864,1.5757e-08,86961,-2.5296,1,0.144,0.094,0.05001,0
0.24436,-8.5687e-05,0,0.0029946,1.5683e-08,86961,-2.5263,1,0.1443,0.0943,0.05001,0
0.24526,-8.4459e-05,0,0.0030028,1.5609e-08,86961,-2.523,1,0.1446,0.0946,0.05001,0
0.24616,-8.323e-05,0,0.003011,1.5535e-08,86961,-2.5197,1,0.1449,0.0949,0.05001,0
0.24706,-8.2002e-05,0,0.0030191,1.5461e-08,86961,-2.5164,1,0.1452,0.0952,0.05001,0
0.24792,-8.0815e-05,0,0.0030271,1.5389e-08,86961,-2.5132,1,0.1455,0.0955,0.05001,0
0.24875,-7.967e-05,0,0.0030347,1.532e-08,86961,-2.5101,1,0.1458,0.0958,0.05001,0
0.24958,-7.8526e-05,0,0.0030423,1.525e-08,86961,-2.507,1,0.1461,0.0961,0.05001,0
0.25042,-7.7381e-05,0,0.0030499,1.518e-08,86961,-2.504,1,0.1464,0.0964,0.05001,0
0.25125,-7.6236e-05,0,0.0030575,1.511e-08,86961,-2.5009,1,0.1467,0.0967,0.05001,0
0.25206,-7.5089e-05,0,0.0030651,1.5041e-08,86961,-2.4978,1,0.147,0.097,0.05001,0
0.25283,-7.3933e-05,0,0.0030721,1.4975e-08,86961,-2.4949,1,0.1473,0.0973,0.05001,0
0.2536,-7.2777e-05,0,0.0030792,1.4908e-08,86962,-2.492,1,0.1476,0.0976,0.05001,0
0.25437,-7.162e-05,0,0.0030863,1.4842e-08,86962,-2.4891,1,0.1479,0.0979,0.05001,0
0.25513,-7.0464e-05,0,0.0030933,1.4776e-08,86962,-2.4862,1,0.1482,0.0982,0.05001,0
0.2559,-6.9308e-05,0,0.0031004,1.471e-08,86962,-2.4833,1,0.1485,0.0985,0.05001,0
0.25662,-6.8105e-05,0,0.003107,1.4646e-08,86962,-2.4806,1,0.1488,0.0988,0.05001,0
0.25732,-6.6894e-05,0,0.0031135,1.4584e-08,86962,-2.4778,1,0.1491,0.0991,0.05001,0
0.25803,-6.5683e-05,0,0.0031201,1.4521e-08,86962,-2.4751,1,0.1494,0.0994,0.05001,0
0.25874,-6.4472e-05,0,0.0031266,1.4458e-08,86962,-2.4724,1,0.1497,0.0997,0.05001,0
0.25945,-6.3261e-05,0,0.0031331,1.4395e-08,86962,-2.4696,1,0.15,0.1,0.05001,0
0.26013,-6.216e-05,0,0.0031394,1.4334e-08,86962,-2.467,1,0.1503,0.1003,0.05001,0
0.26079,-6.1176e-05,0,0.0031454,1.4274e-08,86962,-2.4644,1,0.1506,0.1006,0.05001,0
0.26144,-6.0192e-05,0,0.0031515,1.4215e-08,86962,-2.4618,1,0.1509,0.1009,0.05001,0
0.26209,-5.9208e-05,0,0.0031575,1.4155e-08,86962,-2.4592,1,0.1512,0.1012,0.05001,0
0.26275,-5.8225e-05,0,0.0031636,1.4096e-08,86962,-2.4566,1,0.1515,0.1015,0.05001,0
0.2634,-5.7252e-05,0,0.0031696,1.4036e-08,86962,-2.4541,1,0.1518,0.1018,0.05001,0
0.264,-5.6424e-05,0,0.0031752,1.398e-08,86962,-2.4516,1,0.1521,0.1021,0.05001,0
0.26461,-5.5597e-05,0,0.0031808,1.3923e-08,86962,-2.4492,1,0.1524,0.1024,0.05001,0
0.26522,-5.4769e-05,0,0.0031863,1.3867e-08,86963,-2.4468,1,0.1527,0.1027,0.05001,0
0.26582,-5.3942e-05,0,0.0031919,1.381e-08,86963,-2.4443,1,0.153,0.103,0.05001,0
0.26643,-5.3114e-05,0,0.0031975,1.3754e-08,86963,-2.4419,1,0.1533,0.1033,0.05001,0
0.26701,-5.23e-05,0,0.0032029,1.3699e-08,86963,-2.4395,1,0.1536,0.1036,0.05001,0
0.26757,-5.1493e-05,0,0.0032081,1.3646e-08,86963,-2.4372,1,0.1539,0.1039,0.05001,0
0.26813,-5.0687e-05,0,0.0032132,1.3592e-08,86963,-2.4349,1,0.1542,0.1042,0.05001,0
0.26869,-4.9881e-05,0,0.0032184,1.3538e-08,86963,-2.4326,1,0.1545,0.1045,0.05001,0
0.26925,-4.9074e-05,0,0.0032236,1.3485e-08,86963,-2.4303,1,0.1548,0.1048,0.05001,0
0.26981,-4.8265e-05,0,0.0032287,1.3431e-08,86963,-2.428,1,0.1551,0.1051,0.05001,0
0.27033,-4.7436e-05,0,0.0032335,1.3381e-08,86963,-2.4258,1,0.1554,0.1054,0.05001,0
0.27085,-4.6607e-05,0,0.0032383,1.333e-08,86963,-2.4236,1,0.1557,0.1057,0.05001,0
0.27137,-4.5778e-05,0,0.0032431,1.3279e-08,86963,-2.4214,1,0.156,0.106,0.05001,0
