"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.9328,1.2275,7.5433e-20,0.10268,1.3768e-05,7995.6,-10.666,1,0,-0.01,0.05001,0
4.8205,1.1878,3.2935e-20,0.1074,1.3503e-05,8633.6,-10.664,1,0.00016,-0.00984,0.05001,0
4.7056,1.1477,-2.9112e-20,0.11195,1.323e-05,9270.3,-10.66,1,0.00032,-0.00968,0.05001,0
4.5885,1.1075,-1.0026e-19,0.11627,1.2953e-05,9900,-10.657,1,0.00048,-0.00952,0.05001,0
4.4714,1.0686,-1.0529e-19,0.12003,1.2684e-05,10488,-10.65,1,0.00064,-0.00936,0.05001,0
4.3519,1.0293,-1.0859e-19,0.12358,1.2401e-05,11072,-10.644,1,0.0008,-0.0092,0.05001,0
4.2298,0.98975,-1.1017e-19,0.1269,1.2106e-05,11652,-10.637,1,0.00096,-0.00904,0.05001,0
4.1052,0.94992,-1.1002e-19,0.13001,1.1798e-05,12230,-10.629,1,0.00112,-0.00888,0.05001,0
3.9783,0.9099,-1.0749e-19,0.13287,1.1477e-05,12801,-10.622,1,0.00128,-0.00872,0.05001,0
3.8519,0.87139,-9.2241e-20,0.13509,1.1161e-05,13314,-10.611,1,0.00144,-0.00856,0.05001,0
3.698,0.82691,-7.4067e-20,0.13417,1.0724e-05,14068,-10.599,1,0.0016,-0.0084,0.05001,0
3.5164,0.7766,-5.9165e-20,0.12988,1.017e-05,15083,-10.584,1,0.00176,-0.00824,0.05001,0
3.3348,0.72698,-5.3369e-20,0.12538,9.6147e-06,16089,-10.569,1,0.00192,-0.00808,0.05001,0
3.1533,0.67805,-5.6701e-20,0.12065,9.0602e-06,17086,-10.553,1,0.00208,-0.00792,0.05001,0
2.9813,0.63307,-6.296e-20,0.11606,8.5592e-06,17968,-10.536,1,0.00224,-0.00776,0.05001,0
2.8098,0.58882,-6.304e-20,0.11129,8.0572e-06,18843,-10.518,1,0.0024,-0.0076,0.05001,0
2.6389,0.54529,-5.6931e-20,0.10634,7.5542e-06,19710,-10.5,1,0.00256,-0.00744,0.05001,0
2.4686,0.50249,-4.4624e-20,0.10122,7.0501e-06,20570,-10.483,1,0.00272,-0.00728,0.05001,0
2.2988,0.46042,-2.6112e-20,0.095918,6.5451e-06,21423,-10.464,1,0.00288,-0.00712,0.05001,0
2.1403,0.42256,1.2662e-20,0.090874,6.0884e-06,22165,-10.445,1,0.00304,-0.00696,0.05001,0
1.9831,0.3855,5.9521e-20,0.085692,5.6303e-06,22900,-10.425,1,0.0032,-0.0068,0.05001,0
1.8268,0.34919,1.1426e-19,0.080367,5.1699e-06,23629,-10.405,1,0.00336,-0.00664,0.05001,0
1.6716,0.31364,1.7689e-19,0.074896,4.7073e-06,24353,-10.384,1,0.00352,-0.00648,0.05001,0
1.5173,0.27884,2.4743e-19,0.069282,4.2424e-06,25070,-10.364,1,0.00368,-0.00632,0.05001,0
1.3767,0.24849,-1.8236e-22,0.06399,3.817e-06,25689,-10.342,1,0.00384,-0.00616,0.05001,0
1.2376,0.21894,-2.8831e-19,0.058584,3.3887e-06,26302,-10.32,1,0.004,-0.006,0.05001,0
1.113,0.19285,-6.1828e-19,0.05344,3.0128e-06,26871,-10.297,1,0.00416,-0.00584,0.05001,0
1.0219,0.17398,-1.0023e-18,0.049251,2.7769e-06,27344,-10.274,1,0.00432,-0.00568,0.05001,0
0.93262,0.15576,-1.4287e-18,0.04517,2.5494e-06,27819,-10.251,1,0.00448,-0.00552,0.05001,0
0.85278,0.14051,-1.8772e-18,0.041475,2.348e-06,28197,-10.227,1,0.00464,-0.00536,0.05001,0
0.77467,0.1258,-2.3602e-18,0.037908,2.1542e-06,28582,-10.202,1,0.0048,-0.0052,0.05001,0
0.69827,0.11164,-2.8776e-18,0.034471,1.9678e-06,28974,-10.178,1,0.00496,-0.00504,0.05001,0
0.6236,0.098035,-3.4295e-18,0.031163,1.789e-06,29373,-10.154,1,0.00512,-0.00488,0.05001,0
0.55104,0.085068,-3.9753e-18,0.028004,1.6183e-06,29776,-10.13,1,0.00528,-0.00472,0.05001,0
0.48829,0.074494,-3.6795e-18,0.025394,1.4693e-06,30113,-10.105,1,0.00544,-0.00456,0.05001,0
0.42716,0.064357,-3.3615e-18,0.022911,1.327e-06,30458,-10.08,1,0.0056,-0.0044,0.05001,0
0.36766,0.054658,-3.0214e-18,0.020556,1.1913e-06,30809,-10.056,1,0.00576,-0.00424,0.05001,0
0.30978,0.045397,-2.6592e-18,0.018328,1.0623e-06,31167,-10.031,1,0.00592,-0.00408,0.05001,0
0.25439,0.03676,-2.2729e-18,0.016287,9.4284e-07,31524,-10.007,1,0.00608,-0.00392,0.05001,0
0.20833,0.03018,-1.845e-18,0.014889,8.5506e-07,31812,-9.9822,1,0.00624,-0.00376,0.05001,0
0.1637,0.023929,-1.3898e-18,0.013569,7.7064e-07,32107,-9.9578,1,0.0064,-0.0036,0.05001,0
0.12048,0.018007,-9.072e-19,0.012328,6.8956e-07,32410,-9.9334,1,0.00656,-0.00344,0.05001,0
0.078676,0.012416,-3.9728e-19,0.011167,6.1184e-07,32719,-9.9089,1,0.00672,-0.00328,0.05001,0
0.039556,0.0074416,4.4739e-20,0.010155,5.4225e-07,33022,-9.8847,1,0.00688,-0.00312,0.05001,0
0.0080688,0.0041927,1.7602e-20,0.0095523,4.9826e-07,33262,-9.8611,1,0.00704,-0.00296,0.05001,0
-0.022307,0.0011697,-5.3785e-21,0.0089755,4.5419e-07,33509,-9.8376,1,0.0072,-0.0028,0.05001,0
-0.051571,-0.0016272,-2.42e-20,0.0084251,4.1006e-07,33762,-9.814,1,0.00736,-0.00264,0.05001,0
-0.079723,-0.0041979,-3.8861e-20,0.0079009,3.6586e-07,34021,-9.7905,1,0.00752,-0.00248,0.05001,0
-0.10525,-0.0062463,-1.9204e-20,0.0074744,3.2673e-07,34268,-9.7673,1,0.00768,-0.00232,0.05001,0
-0.12513,-0.0071936,9.7983e-20,0.0072825,3.0276e-07,34459,-9.7452,1,0.00784,-0.00216,0.05001,0
-0.14427,-0.0080138,2.1597e-19,0.0070885,2.7704e-07,34655,-9.7231,1,0.008,-0.002,0.05001,0
-0.16267,-0.008707,3.3475e-19,0.0068924,2.4957e-07,34854,-9.701,1,0.00816,-0.00184,0.05001,0
-0.18034,-0.0092731,4.5434e-19,0.0066941,2.2034e-07,35058,-9.6789,1,0.00832,-0.00168,0.05001,0
-0.19596,-0.0094882,5.2885e-19,0.0065546,1.9502e-07,35237,-9.6574,1,0.00848,-0.00152,0.05001,0
-0.20833,-0.0091574,5.0707e-19,0.0065381,1.7985e-07,35360,-9.6371,1,0.00864,-0.00136,0.05001,0
-0.22031,-0.0087772,4.8486e-19,0.0065154,1.6296e-07,35485,-9.6168,1,0.0088,-0.0012,0.05001,0
-0.23191,-0.0083474,4.6221e-19,0.0064864,1.4434e-07,35613,-9.5965,1,0.00896,-0.00104,0.05001,0
-0.24312,-0.007868,4.3913e-19,0.0064512,1.24e-07,35743,-9.5762,1,0.00912,-0.00088,0.05001,0
-0.25315,-0.0072583,3.7933e-19,0.0064663,1.0878e-07,35842,-9.5563,1,0.00928,-0.00072,0.05001,0
-0.26183,-0.0065112,2.6685e-19,0.0065606,1.0258e-07,35894,-9.5371,1,0.00944,-0.00056,0.05001,0
-0.27041,-0.0057547,1.5384e-19,0.0066542,9.594e-08,35947,-9.5179,1,0.0096,-0.0004,0.05001,0
-0.27888,-0.0049889,4.0313e-20,0.006747,8.8856e-08,36000,-9.4986,1,0.00976,-0.00024,0.05001,0
-0.28723,-0.0042138,-7.3743e-20,0.0068392,8.1331e-08,36054,-9.4794,1,0.00992,-8e-05,0.05001,0
-0.29466,-0.0035948,-1.1962e-19,0.0069541,7.7846e-08,36085,-9.4615,1,0.01008,8e-05,0.05001,0
-0.30124,-0.0031391,-9.6931e-20,0.0070923,7.8734e-08,36091,-9.445,1,0.01024,0.00024,0.05001,0
-0.30783,-0.0026834,-7.424e-20,0.0072306,7.9622e-08,36098,-9.4285,1,0.0104,0.0004,0.05001,0
-0.31441,-0.0022277,-5.1548e-20,0.0073689,8.051e-08,36105,-9.4119,1,0.01056,0.00056,0.05001,0
-0.32099,-0.0017719,-2.8857e-20,0.0075071,8.1398e-08,36112,-9.3954,1,0.01072,0.00072,0.05001,0
-0.32757,-0.0013162,-6.1658e-21,0.0076454,8.2286e-08,36119,-9.3788,1,0.01088,0.00088,0.05001,0
-0.33417,-0.00095397,3.6404e-34,0.0078019,8.2995e-08,36121,-9.3623,1,0.01104,0.00104,0.05001,0
-0.34078,-0.00062659,2.9244e-34,0.0079653,8.3637e-08,36121,-9.3458,1,0.0112,0.0012,0.05001,0
-0.34739,-0.00029922,2.2083e-34,0.0081287,8.4279e-08,36122,-9.3292,1,0.01136,0.00136,0.05001,0
-0.35399,2.816e-05,1.4922e-34,0.0082921,8.4921e-08,36122,-9.3126,1,0.01152,0.00152,0.05001,0
