"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.588,0.92806,9.1644e-20,0.018411,1.8801e-06,11532,-9.5619,1,0,-0.01,0.05001,0
3.2965,0.83424,-3.7917e-20,0.016683,1.6211e-06,12694,-9.5283,1,0.00031,-0.00969,0.05001,0
3.0083,0.74428,-1.3894e-19,0.014922,1.3764e-06,13758,-9.4917,1,0.00062,-0.00938,0.05001,0
2.724,0.65818,-1.3914e-19,0.013133,1.1438e-06,14727,-9.4526,1,0.00093,-0.00907,0.05001,0
2.4385,0.57339,-1.2967e-19,0.01127,9.1336e-07,15648,-9.4123,1,0.00124,-0.00876,0.05001,0
2.1641,0.49548,-9.5373e-20,0.009489,7.0869e-07,16801,-9.369,1,0.00155,-0.00845,0.05001,0
1.8992,0.42459,-6.0064e-20,0.0081117,5.9249e-07,21943,-9.3219,1,0.00186,-0.00814,0.05001,0
1.6479,0.35911,-6.2074e-20,0.006792,4.8568e-07,26931,-9.2743,1,0.00217,-0.00783,0.05001,0
1.4163,0.30107,-7.4573e-20,0.0055972,3.9185e-07,31553,-9.2263,1,0.00248,-0.00752,0.05001,0
1.1944,0.24655,-7.0108e-20,0.0044463,3.0424e-07,36178,-9.1779,1,0.00279,-0.00721,0.05001,0
0.99307,0.1991,-9.6826e-21,0.0034394,2.2855e-07,40447,-9.1301,1,0.0031,-0.0069,0.05001,0
0.80609,0.15636,9.6586e-20,0.0025321,1.6127e-07,44571,-9.0824,1,0.00341,-0.00659,0.05001,0
0.63079,0.11736,1.9916e-19,0.0017005,1.0081e-07,48642,-9.0347,1,0.00372,-0.00628,0.05001,0
0.47934,0.085443,2.0707e-20,0.0010494,5.2432e-08,52279,-8.9888,1,0.00403,-0.00597,0.05001,0
0.38059,0.065625,-2.7662e-19,0.00073785,3.4077e-08,55760,-8.9423,1,0.00434,-0.00566,0.05001,0
0.30823,0.052111,-6.5715e-19,0.00057935,2.7259e-08,58939,-8.8973,1,0.00465,-0.00535,0.05001,0
0.24421,0.040765,-1.0895e-18,0.0004586,2.1898e-08,61928,-8.8536,1,0.00496,-0.00504,0.05001,0
0.18469,0.030447,-1.5948e-18,0.00034469,1.712e-08,64936,-8.8099,1,0.00527,-0.00473,0.05001,0
0.13691,0.022961,-1.3079e-18,0.00029199,1.4095e-08,67494,-8.7697,1,0.00558,-0.00442,0.05001,0
0.092727,0.016217,-9.7801e-19,0.00024562,1.1352e-08,70065,-8.7296,1,0.00589,-0.00411,0.05001,0
0.054991,0.010828,-6.6121e-19,0.00021871,9.1892e-09,72444,-8.6911,1,0.0062,-0.0038,0.05001,0
0.023842,0.0067922,-3.4795e-19,0.00021402,7.5716e-09,74568,-8.6548,1,0.00651,-0.00349,0.05001,0
-0.004713,0.0032305,3.4111e-20,0.00021371,6.059e-09,76706,-8.6184,1,0.00682,-0.00318,0.05001,0
-0.025969,0.0010353,1.0221e-20,0.00022623,4.9805e-09,78427,-8.5856,1,0.00713,-0.00287,0.05001,0
-0.044848,-0.00075904,-4.5264e-20,0.00024274,3.9854e-09,80105,-8.5533,1,0.00744,-0.00256,0.05001,0
-0.060436,-0.0020281,-1.4081e-20,0.00026164,3.1148e-09,81622,-8.5223,1,0.00775,-0.00225,0.05001,0
-0.071888,-0.0026538,1.3986e-19,0.00028179,2.435e-09,82831,-8.4939,1,0.00806,-0.00194,0.05001,0
-0.082276,-0.0031323,2.9095e-19,0.0003038,1.7857e-09,84045,-8.4656,1,0.00837,-0.00163,0.05001,0
-0.089203,-0.0030822,2.9802e-19,0.00032229,1.337e-09,84867,-8.4404,1,0.00868,-0.00132,0.05001,0
-0.094991,-0.0028782,2.71e-19,0.00034065,9.5605e-10,85601,-8.4159,1,0.00899,-0.00101,0.05001,0
-0.099775,-0.0025689,2.1476e-19,0.00035873,6.6222e-10,86211,-8.3923,1,0.0093,-0.0007,0.05001,0
-0.10304,-0.0021044,8.3666e-20,0.00037388,5.3782e-10,86496,-8.3707,1,0.00961,-0.00039,0.05001,0
-0.10615,-0.0016285,-4.8861e-20,0.0003893,4.2101e-10,86781,-8.3491,1,0.00992,-8e-05,0.05001,0
-0.10814,-0.0013619,-6.2549e-20,0.00040015,3.8979e-10,86879,-8.3309,1,0.01023,0.00023,0.05001,0
-0.10977,-0.0011706,-3.4588e-20,0.00040936,3.867e-10,86912,-8.314,1,0.01054,0.00054,0.05001,0
-0.11141,-0.00097929,-6.6272e-21,0.00041856,3.836e-10,86944,-8.297,1,0.01085,0.00085,0.05001,0
-0.11236,-0.00091094,2.0002e-34,0.00042411,3.861e-10,86952,-8.2815,1,0.01116,0.00116,0.05001,0
-0.11311,-0.00088079,1.106e-34,0.00042852,3.9034e-10,86951,-8.2664,1,0.01147,0.00147,0.05001,0
-0.11386,-0.00085063,2.1175e-35,0.00043293,3.9457e-10,86951,-8.2513,1,0.01178,0.00178,0.05001,0
-0.11423,-0.000813,0,0.00043518,4.008e-10,86950,-8.2377,1,0.01209,0.00209,0.05001,0
-0.11448,-0.00077304,0,0.00043676,4.0765e-10,86950,-8.2246,1,0.0124,0.0024,0.05001,0
-0.11473,-0.00073308,0,0.00043834,4.145e-10,86950,-8.2115,1,0.01271,0.00271,0.05001,0
-0.11491,-0.00068708,0,0.00043987,4.2395e-10,86950,-8.1995,1,0.01302,0.00302,0.05001,0
-0.11507,-0.00063899,0,0.00044138,4.343e-10,86950,-8.188,1,0.01333,0.00333,0.05001,0
-0.11523,-0.0005909,0,0.00044289,4.4465e-10,86950,-8.1765,1,0.01364,0.00364,0.05001,0
-0.11557,-0.00052398,0,0.00044633,4.6079e-10,86950,-8.1659,1,0.01395,0.00395,0.05001,0
-0.11599,-0.00044901,0,0.00045058,4.7939e-10,86950,-8.1556,1,0.01426,0.00426,0.05001,0
-0.11641,-0.00037404,0,0.00045484,4.98e-10,86950,-8.1454,1,0.01457,0.00457,0.05001,0
-0.1172,-0.00028244,0,0.0004627,5.2539e-10,86950,-8.1357,1,0.01488,0.00488,0.05001,0
