Points_0,p,U_0
0.014265,-7.22071,-0.173144
0.0147901,-7.09758,-0.16956
0.0153187,-6.97345,-0.165345
0.0158507,-6.84878,-0.160507
0.0163862,-6.724,-0.155123
0.0169252,-6.59951,-0.149277
0.0174677,-6.47558,-0.143017
0.0180137,-6.35252,-0.136371
0.0185633,-6.23061,-0.129349
0.0191165,-6.11016,-0.121969
0.0196734,-5.99144,-0.114259
0.0202338,-5.87477,-0.106266
0.0207979,-5.76043,-0.0980795
0.0213657,-5.64855,-0.0897119
0.0219372,-5.5394,-0.0812046
0.0225124,-5.43311,-0.0726369
0.0230914,-5.32979,-0.0640277
0.0236742,-5.22954,-0.0553934
0.0242608,-5.13244,-0.0467539
0.0248512,-5.0386,-0.0381509
0.0254454,-4.94806,-0.0296386
0.0260435,-4.86084,-0.021213
0.0266456,-4.77704,-0.0129576
0.0272516,-4.69642,-0.00492749
0.0278615,-4.61902,0.00295836
0.0284754,-4.5448,0.0106476
0.0290933,-4.47367,0.0181127
0.0297153,-4.40555,0.0253539
0.0303413,-4.34037,0.0323592
0.0309714,-4.27804,0.0391111
0.0316056,-4.21846,0.0456067
0.032244,-4.16149,0.0518117
0.0328865,-4.10689,0.057766
0.0335332,-4.05478,0.0635168
0.0341841,-4.00496,0.0689963
0.0348393,-3.9573,0.0742107
0.0354988,-3.91169,0.0791726
0.0361626,-3.86802,0.0838991
0.0368307,-3.8262,0.088402
0.0375032,-3.78613,0.0926774
0.03818,-3.7477,0.0967285
0.0388613,-3.71083,0.100578
0.039547,-3.67547,0.104219
0.0402373,-3.64141,0.107645
0.040932,-3.60861,0.110901
0.0416312,-3.57706,0.113987
0.042335,-3.54664,0.116898
0.0430434,-3.51729,0.119646
0.0437565,-3.48893,0.122237
0.0444742,-3.46151,0.124674
0.0451966,-3.43494,0.126974
0.0459237,-3.40921,0.129153
0.0466555,-3.38426,0.131202
0.0473921,-3.36004,0.133134
0.0481336,-3.33649,0.134955
0.0488798,-3.31358,0.136675
0.049631,-3.29128,0.138299
0.050387,-3.26955,0.139829
0.051148,-3.24833,0.141268
0.051914,-3.22762,0.142628
0.0526849,-3.2074,0.143915
0.0534609,-3.18762,0.145126
0.054242,-3.16826,0.146269
0.0550281,-3.1493,0.147349
0.0558194,-3.13072,0.148371
0.0566159,-3.11251,0.149338
0.0574175,-3.09464,0.150254
0.0582244,-3.07711,0.15112
0.0590366,-3.05989,0.151937
0.059854,-3.04297,0.152712
0.0606768,-3.02635,0.153446
0.061505,-3.01,0.154138
0.0623386,-2.99393,0.154792
0.0631776,-2.97811,0.15541
0.0640221,-2.96254,0.155994
0.0648721,-2.94721,0.156545
0.0657277,-2.9321,0.157065
0.0665888,-2.9172,0.157556
0.0674556,-2.90251,0.158023
0.068328,-2.88804,0.158471
0.0692062,-2.87378,0.158893
0.07009,-2.85972,0.159292
0.0709796,-2.84585,0.159667
0.0718751,-2.83218,0.160021
0.0727764,-2.81869,0.160355
0.0736836,-2.80538,0.16067
0.0745967,-2.79225,0.160969
0.0755157,-2.77929,0.161249
0.0764408,-2.7665,0.161515
0.0773719,-2.75388,0.161769
0.078309,-2.74142,0.162011
0.0792523,-2.72913,0.162241
0.0802018,-2.717,0.162461
0.0811574,-2.70504,0.162673
0.0821193,-2.69324,0.162876
0.0830875,-2.68161,0.163078
0.084062,-2.67021,0.163268
0.0850429,-2.65893,0.16344
0.0860301,-2.64783,0.16361
0.0870238,-2.6369,0.163769
0.088024,-2.62615,0.163916
0.0890308,-2.61557,0.164056
0.0900441,-2.60519,0.164192
0.091064,-2.59499,0.164305
0.0920906,-2.58491,0.164406
0.0931239,-2.57504,0.164511
0.0941639,-2.56536,0.164602
0.0952107,-2.55585,0.164678
0.0962644,-2.54649,0.164741
0.0973249,-2.53731,0.164797
0.0983923,-2.52833,0.164844
0.0994668,-2.5195,0.164873
0.100548,-2.51081,0.164887
0.101637,-2.50225,0.164905
0.102732,-2.49393,0.164917
0.103835,-2.4857,0.164902
0.104945,-2.47762,0.164887
0.106062,-2.46973,0.164867
0.107187,-2.462,0.164839
0.108319,-2.45443,0.164796
0.109458,-2.447,0.164735
0.110605,-2.4397,0.164658
0.111759,-2.43251,0.164583
0.11292,-2.42558,0.16451
0.11409,-2.4188,0.164409
0.115267,-2.41215,0.164299
0.116451,-2.40566,0.164182
0.117644,-2.39934,0.16405
0.118844,-2.39318,0.163901
0.120052,-2.38714,0.163735
0.121267,-2.38124,0.163563
0.122491,-2.37557,0.163393
0.123723,-2.37002,0.163193
0.124963,-2.36457,0.162973
0.126211,-2.35925,0.162744
0.127467,-2.35406,0.162515
0.128731,-2.34907,0.162279
0.130004,-2.3442,0.162021
0.131284,-2.33944,0.161752
0.132574,-2.33481,0.16148
0.133871,-2.33035,0.161204
0.135177,-2.32601,0.160906
0.136492,-2.32179,0.160594
0.137815,-2.31768,0.160274
0.139147,-2.31368,0.159948
0.140487,-2.3098,0.159609
0.141837,-2.30602,0.159258
0.143195,-2.30233,0.158902
0.144562,-2.29875,0.158549
0.145938,-2.29531,0.158189
0.147322,-2.29196,0.157813
0.148716,-2.28868,0.157429
0.150119,-2.28552,0.157047
0.151532,-2.28249,0.156655
0.152953,-2.27953,0.156253
0.154384,-2.27665,0.155843
0.155824,-2.27383,0.155428
0.157273,-2.2711,0.155016
0.158732,-2.2685,0.154601
0.1602,-2.26599,0.154178
0.161678,-2.26351,0.153746
0.163166,-2.26111,0.153316
0.164663,-2.25879,0.152887
0.16617,-2.25657,0.152451
0.167687,-2.2544,0.15201
0.169214,-2.25232,0.15157
0.170751,-2.25033,0.151126
0.172298,-2.24841,0.150683
0.173855,-2.24659,0.150246
0.175422,-2.24489,0.149794
0.176999,-2.2432,0.149345
0.178587,-2.24165,0.148908
0.180185,-2.24018,0.148465
0.181794,-2.23885,0.148029
0.183413,-2.23764,0.147582
0.185042,-2.23652,0.147124
0.186682,-2.23545,0.14667
0.188333,-2.23445,0.146237
0.189995,-2.2337,0.145811
0.191667,-2.23302,0.145364
0.193351,-2.23242,0.144926
0.195045,-2.232,0.144497
0.196751,-2.23173,0.144067
0.198468,-2.23162,0.143638
0.200195,-2.23166,0.143197
0.201935,-2.23181,0.142759
0.203685,-2.23221,0.142338
0.205447,-2.23288,0.141891
0.20722,-2.23345,0.141417
0.209005,-2.2342,0.140992
0.210802,-2.23529,0.140572
0.21261,-2.23646,0.140116
0.214431,-2.23773,0.139658
0.216263,-2.23917,0.139226
0.218107,-2.24097,0.138802
0.219963,-2.24291,0.138337
0.221831,-2.24493,0.137875
0.223711,-2.24713,0.13743
0.225604,-2.24952,0.136984
0.227509,-2.25204,0.136539
0.229426,-2.25474,0.136096
0.231356,-2.25758,0.135655
0.233299,-2.26059,0.135222
0.235254,-2.26375,0.134786
0.237222,-2.26705,0.134345
